@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,1,0,824,0,1,1,0.001212,1,0.998788,0.002421,1,1,0.020858
1,1,0,765,59,0.928398,1,0.001305,1,0.998695,0.002608,0.928485,?,0.020858
2,1,0,764,60,0.927184,1,0.001307,1,0.998693,0.002611,0.927273,?,0.022721
3,1,0,753,71,0.913835,1,0.001326,1,0.998674,0.002649,0.913939,?,0.024746
4,1,0,751,73,0.911408,1,0.00133,1,0.99867,0.002656,0.911515,?,0.025339
5,1,0,746,78,0.90534,1,0.001339,1,0.998661,0.002674,0.905455,?,0.026947
6,1,0,738,86,0.895631,1,0.001353,1,0.998647,0.002703,0.895758,?,0.027591
7,1,0,736,88,0.893204,1,0.001357,1,0.998643,0.00271,0.893333,?,0.029338
8,1,0,731,93,0.887136,1,0.001366,1,0.998634,0.002729,0.887273,?,0.032693
9,1,0,730,94,0.885922,1,0.001368,1,0.998632,0.002732,0.886061,?,0.034442
10,1,0,729,95,0.884709,1,0.00137,1,0.99863,0.002736,0.884848,?,0.03475
11,1,0,719,105,0.872573,1,0.001389,1,0.998611,0.002774,0.872727,?,0.03475
12,1,0,718,106,0.871359,1,0.001391,1,0.998609,0.002778,0.871515,?,0.03475
13,1,0,717,107,0.870146,1,0.001393,1,0.998607,0.002782,0.870303,?,0.03475
14,1,0,716,108,0.868932,1,0.001395,1,0.998605,0.002786,0.869091,?,0.03475
15,1,0,715,109,0.867718,1,0.001397,1,0.998603,0.002789,0.867879,?,0.038291
16,1,0,709,115,0.860437,1,0.001408,1,0.998592,0.002813,0.860606,?,0.039435
17,1,0,708,116,0.859223,1,0.00141,1,0.99859,0.002817,0.859394,?,0.041645
18,1,0,705,119,0.855583,1,0.001416,1,0.998584,0.002829,0.855758,?,0.0431
19,1,0,664,160,0.805825,1,0.001504,1,0.998496,0.003003,0.806061,?,0.0431
20,1,0,663,161,0.804612,1,0.001506,1,0.998494,0.003008,0.804848,?,0.0431
21,1,0,661,163,0.802184,1,0.001511,1,0.998489,0.003017,0.802424,?,0.0431
22,1,0,660,164,0.800971,1,0.001513,1,0.998487,0.003021,0.801212,?,0.0431
23,1,0,659,165,0.799757,1,0.001515,1,0.998485,0.003026,0.8,?,0.0431
24,1,0,658,166,0.798544,1,0.001517,1,0.998483,0.00303,0.798788,?,0.043101
25,1,0,657,167,0.79733,1,0.00152,1,0.99848,0.003035,0.797576,?,0.043101
26,1,0,656,168,0.796117,1,0.001522,1,0.998478,0.00304,0.796364,?,0.043143
27,1,0,655,169,0.794903,1,0.001524,1,0.998476,0.003044,0.795152,?,0.043174
28,1,0,654,170,0.793689,1,0.001527,1,0.998473,0.003049,0.793939,?,0.043305
29,1,0,653,171,0.792476,1,0.001529,1,0.998471,0.003053,0.792727,?,0.044709
30,1,0,648,176,0.786408,1,0.001541,1,0.998459,0.003077,0.786667,?,0.044823
31,1,0,646,178,0.783981,1,0.001546,1,0.998454,0.003086,0.784242,?,0.045278
32,1,0,645,179,0.782767,1,0.001548,1,0.998452,0.003091,0.78303,?,0.046855
33,1,0,634,190,0.769417,1,0.001575,1,0.998425,0.003145,0.769697,?,0.046855
34,1,0,633,191,0.768204,1,0.001577,1,0.998423,0.00315,0.768485,?,0.046931
35,1,0,632,192,0.76699,1,0.00158,1,0.99842,0.003155,0.767273,?,0.046941
36,1,0,631,193,0.765777,1,0.001582,1,0.998418,0.00316,0.766061,?,0.049213
37,1,0,629,195,0.76335,1,0.001587,1,0.998413,0.00317,0.763636,?,0.050919
38,1,0,626,198,0.759709,1,0.001595,1,0.998405,0.003185,0.76,?,0.055315
39,1,0,622,202,0.754854,1,0.001605,1,0.998395,0.003205,0.755152,?,0.057353
40,1,0,610,214,0.740291,1,0.001637,1,0.998363,0.003268,0.740606,?,0.058073
41,1,0,605,219,0.734223,1,0.00165,1,0.99835,0.003295,0.734545,?,0.058575
42,1,0,601,223,0.729369,1,0.001661,1,0.998339,0.003317,0.729697,?,0.063588
43,1,0,600,224,0.728155,1,0.001664,1,0.998336,0.003322,0.728485,?,0.064057
44,1,0,587,237,0.712379,1,0.001701,1,0.998299,0.003396,0.712727,?,0.064165
45,1,0,540,284,0.65534,1,0.001848,1,0.998152,0.00369,0.655758,?,0.064165
46,1,0,539,285,0.654126,1,0.001852,1,0.998148,0.003697,0.654545,?,0.064165
47,1,0,538,286,0.652913,1,0.001855,1,0.998145,0.003704,0.653333,?,0.064165
48,1,0,537,287,0.651699,1,0.001859,1,0.998141,0.003711,0.652121,?,0.064269
49,1,0,535,289,0.649272,1,0.001866,1,0.998134,0.003724,0.649697,?,0.065349
50,1,0,534,290,0.648058,1,0.001869,1,0.998131,0.003731,0.648485,?,0.068593
51,1,0,533,291,0.646845,1,0.001873,1,0.998127,0.003738,0.647273,?,0.068719
52,1,0,456,368,0.553398,1,0.002188,1,0.997812,0.004367,0.553939,?,0.069078
53,1,0,455,369,0.552184,1,0.002193,1,0.997807,0.004376,0.552727,?,0.069504
54,1,0,452,372,0.548544,1,0.002208,1,0.997792,0.004405,0.549091,?,0.069621
55,1,0,445,379,0.540049,1,0.002242,1,0.997758,0.004474,0.540606,?,0.070736
56,1,0,438,386,0.531553,1,0.002278,1,0.997722,0.004545,0.532121,?,0.074202
57,1,0,434,390,0.526699,1,0.002299,1,0.997701,0.004587,0.527273,?,0.074202
58,1,0,433,391,0.525485,1,0.002304,1,0.997696,0.004598,0.526061,?,0.074532
59,1,0,424,400,0.514563,1,0.002353,1,0.997647,0.004695,0.515152,?,0.075503
60,1,0,421,403,0.510922,1,0.00237,1,0.99763,0.004728,0.511515,?,0.078949
61,1,0,420,404,0.509709,1,0.002375,1,0.997625,0.004739,0.510303,?,0.079715
62,1,0,419,405,0.508495,1,0.002381,1,0.997619,0.004751,0.509091,?,0.080793
63,1,0,414,410,0.502427,1,0.00241,1,0.99759,0.004808,0.50303,?,0.082888
64,1,0,382,442,0.463592,1,0.002611,1,0.997389,0.005208,0.464242,?,0.082888
65,1,0,381,443,0.462379,1,0.002618,1,0.997382,0.005222,0.46303,?,0.082888
66,1,0,379,445,0.459951,1,0.002632,1,0.997368,0.005249,0.460606,?,0.082888
67,1,0,378,446,0.458738,1,0.002639,1,0.997361,0.005263,0.459394,?,0.082888
68,1,0,377,447,0.457524,1,0.002646,1,0.997354,0.005277,0.458182,?,0.082888
69,1,0,376,448,0.456311,1,0.002653,1,0.997347,0.005291,0.45697,?,0.082888
70,1,0,375,449,0.455097,1,0.00266,1,0.99734,0.005305,0.455758,?,0.082888
71,1,0,374,450,0.453883,1,0.002667,1,0.997333,0.005319,0.454545,?,0.082888
72,1,0,373,451,0.45267,1,0.002674,1,0.997326,0.005333,0.453333,?,0.082888
73,1,0,372,452,0.451456,1,0.002681,1,0.997319,0.005348,0.452121,?,0.082888
74,1,0,371,453,0.450243,1,0.002688,1,0.997312,0.005362,0.450909,?,0.082888
75,1,0,370,454,0.449029,1,0.002695,1,0.997305,0.005376,0.449697,?,0.082888
76,1,0,369,455,0.447816,1,0.002703,1,0.997297,0.005391,0.448485,?,0.082888
77,1,0,368,456,0.446602,1,0.00271,1,0.99729,0.005405,0.447273,?,0.082888
78,1,0,367,457,0.445388,1,0.002717,1,0.997283,0.00542,0.446061,?,0.082888
79,1,0,366,458,0.444175,1,0.002725,1,0.997275,0.005435,0.444848,?,0.082888
80,1,0,365,459,0.442961,1,0.002732,1,0.997268,0.00545,0.443636,?,0.082888
81,1,0,364,460,0.441748,1,0.00274,1,0.99726,0.005464,0.442424,?,0.082998
82,1,0,363,461,0.440534,1,0.002747,1,0.997253,0.005479,0.441212,?,0.087531
83,1,0,359,465,0.43568,1,0.002778,1,0.997222,0.00554,0.436364,?,0.089783
84,1,0,351,473,0.425971,1,0.002841,1,0.997159,0.005666,0.426667,?,0.089783
85,1,0,350,474,0.424757,1,0.002849,1,0.997151,0.005682,0.425455,?,0.089783
86,1,0,349,475,0.423544,1,0.002857,1,0.997143,0.005698,0.424242,?,0.089783
87,1,0,348,476,0.42233,1,0.002865,1,0.997135,0.005714,0.42303,?,0.089783
88,1,0,347,477,0.421117,1,0.002874,1,0.997126,0.005731,0.421818,?,0.089783
89,1,0,346,478,0.419903,1,0.002882,1,0.997118,0.005747,0.420606,?,0.090046
90,1,0,344,480,0.417476,1,0.002899,1,0.997101,0.00578,0.418182,?,0.090072
91,1,0,343,481,0.416262,1,0.002907,1,0.997093,0.005797,0.41697,?,0.095314
92,1,0,342,482,0.415049,1,0.002915,1,0.997085,0.005814,0.415758,?,0.095937
93,1,0,341,483,0.413835,1,0.002924,1,0.997076,0.005831,0.414545,?,0.097191
94,1,0,337,487,0.408981,1,0.002959,1,0.997041,0.0059,0.409697,?,0.097337
95,1,0,336,488,0.407767,1,0.002967,1,0.997033,0.005917,0.408485,?,0.098605
96,1,0,335,489,0.406553,1,0.002976,1,0.997024,0.005935,0.407273,?,0.100085
97,1,0,334,490,0.40534,1,0.002985,1,0.997015,0.005952,0.406061,?,0.10014
98,1,0,333,491,0.404126,1,0.002994,1,0.997006,0.00597,0.404848,?,0.100259
99,1,0,332,492,0.402913,1,0.003003,1,0.996997,0.005988,0.403636,?,0.102106
100,1,0,322,502,0.390777,1,0.003096,1,0.996904,0.006173,0.391515,?,0.102364
