@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,354,0,70231,0,1,1,0.005015,1,0.994985,0.00998,1,1,0.024931
1,354,0,70230,1,0.999986,1,0.005015,1,0.994985,0.009981,0.999986,1.000014,0.024984
2,354,0,70229,2,0.999972,1,0.005015,1,0.994985,0.009981,0.999972,1.000028,0.029448
3,354,0,70068,163,0.997679,1,0.005027,1,0.994973,0.010003,0.997691,1.002315,0.029448
4,354,0,70067,164,0.997665,1,0.005027,1,0.994973,0.010004,0.997677,1.002329,0.029448
5,354,0,70066,165,0.997651,1,0.005027,1,0.994973,0.010004,0.997662,1.002343,0.029448
6,354,0,70065,166,0.997636,1,0.005027,1,0.994973,0.010004,0.997648,1.002357,0.029448
7,354,0,70064,167,0.997622,1,0.005027,1,0.994973,0.010004,0.997634,1.002372,0.029509
8,354,0,70024,207,0.997053,1,0.00503,1,0.99497,0.01001,0.997067,1.002941,0.029571
9,354,0,70006,225,0.996796,1,0.005031,1,0.994969,0.010012,0.996812,1.003198,0.029633
10,354,0,69989,242,0.996554,1,0.005032,1,0.994968,0.010015,0.996572,1.00344,0.029695
11,354,0,69977,254,0.996383,1,0.005033,1,0.994967,0.010016,0.996402,1.003611,0.029757
12,354,0,69969,262,0.996269,1,0.005034,1,0.994966,0.010017,0.996288,1.003726,0.029819
13,354,0,69960,271,0.996141,1,0.005035,1,0.994965,0.010019,0.996161,1.003854,0.029882
14,354,0,69953,278,0.996042,1,0.005035,1,0.994965,0.01002,0.996061,1.003954,0.029944
15,354,0,69946,285,0.995942,1,0.005036,1,0.994964,0.010021,0.995962,1.004054,0.030007
16,354,0,69942,289,0.995885,1,0.005036,1,0.994964,0.010021,0.995906,1.004111,0.030132
17,354,0,69940,291,0.995857,1,0.005036,1,0.994964,0.010022,0.995877,1.00414,0.030195
18,354,0,69938,293,0.995828,1,0.005036,1,0.994964,0.010022,0.995849,1.004168,0.030258
19,354,0,69936,295,0.9958,1,0.005036,1,0.994964,0.010022,0.995821,1.004197,0.030439
20,354,0,69929,302,0.9957,1,0.005037,1,0.994963,0.010023,0.995721,1.004297,0.030439
21,354,0,69927,304,0.995671,1,0.005037,1,0.994963,0.010023,0.995693,1.004325,0.030449
22,354,0,69926,305,0.995657,1,0.005037,1,0.994963,0.010024,0.995679,1.00434,0.030503
23,354,0,69922,309,0.9956,1,0.005037,1,0.994963,0.010024,0.995622,1.004397,0.030503
24,354,0,69921,310,0.995586,1,0.005037,1,0.994963,0.010024,0.995608,1.004411,0.030567
25,354,0,69919,312,0.995558,1,0.005037,1,0.994963,0.010024,0.99558,1.00444,0.030631
26,354,0,69916,315,0.995515,1,0.005038,1,0.994962,0.010025,0.995537,1.004483,0.030631
27,354,0,69914,317,0.995486,1,0.005038,1,0.994962,0.010025,0.995509,1.004511,0.030631
28,354,0,69913,318,0.995472,1,0.005038,1,0.994962,0.010025,0.995495,1.004526,0.030768
29,354,0,69912,319,0.995458,1,0.005038,1,0.994962,0.010025,0.995481,1.00454,0.030832
30,354,0,69906,325,0.995372,1,0.005038,1,0.994962,0.010026,0.995396,1.004626,0.030897
31,354,0,69905,326,0.995358,1,0.005039,1,0.994961,0.010026,0.995381,1.00464,0.030901
32,354,0,69816,415,0.994091,1,0.005045,1,0.994955,0.010039,0.994121,1.005914,0.030961
33,354,0,69814,417,0.994062,1,0.005045,1,0.994955,0.010039,0.994092,1.005943,0.030966
34,354,0,69792,439,0.993749,1,0.005047,1,0.994953,0.010043,0.993781,1.006258,0.03103
35,354,0,69777,454,0.993536,1,0.005048,1,0.994952,0.010045,0.993568,1.006474,0.031082
36,354,0,69776,455,0.993521,1,0.005048,1,0.994952,0.010045,0.993554,1.006488,0.031091
37,354,0,69771,460,0.99345,1,0.005048,1,0.994952,0.010046,0.993483,1.00656,0.031095
38,354,0,69767,464,0.993393,1,0.005048,1,0.994952,0.010046,0.993426,1.006617,0.03116
39,354,0,69757,474,0.993251,1,0.005049,1,0.994951,0.010048,0.993285,1.006761,0.031212
40,354,0,69756,475,0.993237,1,0.005049,1,0.994951,0.010048,0.993271,1.006775,0.031225
41,354,0,69746,485,0.993094,1,0.00505,1,0.99495,0.010049,0.993129,1.006919,0.03129
42,354,0,69738,493,0.99298,1,0.005051,1,0.994949,0.01005,0.993016,1.007034,0.031327
43,354,0,69700,531,0.992439,1,0.005053,1,0.994947,0.010056,0.992477,1.00758,0.031327
44,354,0,69699,532,0.992425,1,0.005053,1,0.994947,0.010056,0.992463,1.007594,0.031352
45,354,0,69696,535,0.992382,1,0.005054,1,0.994946,0.010056,0.99242,1.007637,0.031356
46,354,0,69688,543,0.992268,1,0.005054,1,0.994946,0.010057,0.992307,1.007752,0.031393
47,354,0,69681,550,0.992169,1,0.005055,1,0.994945,0.010058,0.992208,1.007853,0.031421
48,354,0,69672,559,0.992041,1,0.005055,1,0.994945,0.01006,0.99208,1.007983,0.031458
49,354,0,69669,562,0.991998,1,0.005055,1,0.994945,0.01006,0.992038,1.008026,0.031473
50,354,0,69658,573,0.991841,1,0.005056,1,0.994944,0.010062,0.991882,1.008184,0.031473
51,354,0,69657,574,0.991827,1,0.005056,1,0.994944,0.010062,0.991868,1.008199,0.031473
52,354,0,69646,585,0.99167,1,0.005057,1,0.994943,0.010063,0.991712,1.008357,0.031473
53,354,0,69645,586,0.991656,1,0.005057,1,0.994943,0.010064,0.991698,1.008372,0.031473
54,354,0,69644,587,0.991642,1,0.005057,1,0.994943,0.010064,0.991684,1.008386,0.031473
55,354,0,69643,588,0.991628,1,0.005057,1,0.994943,0.010064,0.99167,1.0084,0.031473
56,354,0,69642,589,0.991613,1,0.005057,1,0.994943,0.010064,0.991655,1.008415,0.031473
57,354,0,69641,590,0.991599,1,0.005058,1,0.994942,0.010064,0.991641,1.008429,0.031487
58,354,0,69639,592,0.991571,1,0.005058,1,0.994942,0.010064,0.991613,1.008458,0.031524
59,354,0,69632,599,0.991471,1,0.005058,1,0.994942,0.010065,0.991514,1.008559,0.031656
60,354,0,69631,600,0.991457,1,0.005058,1,0.994942,0.010066,0.9915,1.008573,0.03168
61,354,0,69625,606,0.991371,1,0.005059,1,0.994941,0.010066,0.991415,1.00866,0.031683
62,354,0,69581,650,0.990745,1,0.005062,1,0.994938,0.010073,0.990791,1.009294,0.031683
63,354,0,69580,651,0.990731,1,0.005062,1,0.994938,0.010073,0.990777,1.009309,0.031683
64,354,0,69579,652,0.990716,1,0.005062,1,0.994938,0.010073,0.990763,1.009323,0.031684
65,354,0,69578,653,0.990702,1,0.005062,1,0.994938,0.010073,0.990749,1.009338,0.031749
66,354,0,69564,667,0.990503,1,0.005063,1,0.994937,0.010075,0.99055,1.00954,0.031749
67,354,0,69563,668,0.990489,1,0.005063,1,0.994937,0.010075,0.990536,1.009554,0.031751
68,354,0,69562,669,0.990474,1,0.005063,1,0.994937,0.010075,0.990522,1.009569,0.031756
69,354,0,69561,670,0.99046,1,0.005063,1,0.994937,0.010076,0.990508,1.009583,0.031779
70,354,0,69560,671,0.990446,1,0.005063,1,0.994937,0.010076,0.990494,1.009598,0.031783
71,354,0,69559,672,0.990432,1,0.005063,1,0.994937,0.010076,0.99048,1.009612,0.031787
72,354,0,69558,673,0.990417,1,0.005064,1,0.994936,0.010076,0.990465,1.009626,0.031788
73,354,0,69555,676,0.990375,1,0.005064,1,0.994936,0.010076,0.990423,1.00967,0.031815
74,354,0,69549,682,0.990289,1,0.005064,1,0.994936,0.010077,0.990338,1.009756,0.031854
75,354,0,69548,683,0.990275,1,0.005064,1,0.994936,0.010077,0.990324,1.009771,0.031866
76,354,0,69547,684,0.990261,1,0.005064,1,0.994936,0.010078,0.99031,1.009785,0.031881
