@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,1,0,824,0,1,1,0.001212,1,0.998788,0.002421,1,1,0.001476
1,1,0,821,3,0.996359,1,0.001217,1,0.998783,0.00243,0.996364,?,0.001537
2,1,0,818,6,0.992718,1,0.001221,1,0.998779,0.002439,0.992727,?,0.001543
3,1,0,817,7,0.991505,1,0.001222,1,0.998778,0.002442,0.991515,?,0.001544
4,1,0,809,15,0.981796,1,0.001235,1,0.998765,0.002466,0.981818,?,0.00155
5,1,0,795,29,0.964806,1,0.001256,1,0.998744,0.002509,0.964848,?,0.001771
6,1,0,793,31,0.962379,1,0.001259,1,0.998741,0.002516,0.962424,?,0.002258
7,1,0,790,34,0.958738,1,0.001264,1,0.998736,0.002525,0.958788,?,0.002361
8,1,0,787,37,0.955097,1,0.001269,1,0.998731,0.002535,0.955152,?,0.00237
9,1,0,784,40,0.951456,1,0.001274,1,0.998726,0.002545,0.951515,?,0.011137
10,1,0,781,43,0.947816,1,0.001279,1,0.998721,0.002554,0.947879,?,0.011155
11,1,0,780,44,0.946602,1,0.00128,1,0.99872,0.002558,0.946667,?,0.012835
12,1,0,779,45,0.945388,1,0.001282,1,0.998718,0.002561,0.945455,?,0.014164
13,1,0,777,47,0.942961,1,0.001285,1,0.998715,0.002567,0.94303,?,0.014375
14,1,0,776,48,0.941748,1,0.001287,1,0.998713,0.002571,0.941818,?,0.014742
15,1,0,773,51,0.938107,1,0.001292,1,0.998708,0.002581,0.938182,?,0.014801
16,1,0,766,58,0.929612,1,0.001304,1,0.998696,0.002604,0.929697,?,0.01486
17,1,0,718,106,0.871359,1,0.001391,1,0.998609,0.002778,0.871515,?,0.01486
18,1,0,717,107,0.870146,1,0.001393,1,0.998607,0.002782,0.870303,?,0.01486
19,1,0,716,108,0.868932,1,0.001395,1,0.998605,0.002786,0.869091,?,0.014904
20,1,0,714,110,0.866505,1,0.001399,1,0.998601,0.002793,0.866667,?,0.015365
21,1,0,713,111,0.865291,1,0.001401,1,0.998599,0.002797,0.865455,?,0.01674
22,1,0,711,113,0.862864,1,0.001404,1,0.998596,0.002805,0.86303,?,0.01674
23,1,0,710,114,0.86165,1,0.001406,1,0.998594,0.002809,0.861818,?,0.01674
24,1,0,709,115,0.860437,1,0.001408,1,0.998592,0.002813,0.860606,?,0.01674
25,1,0,708,116,0.859223,1,0.00141,1,0.99859,0.002817,0.859394,?,0.01674
26,1,0,707,117,0.85801,1,0.001412,1,0.998588,0.002821,0.858182,?,0.01674
27,1,0,706,118,0.856796,1,0.001414,1,0.998586,0.002825,0.85697,?,0.01674
28,1,0,705,119,0.855583,1,0.001416,1,0.998584,0.002829,0.855758,?,0.01674
29,1,0,704,120,0.854369,1,0.001418,1,0.998582,0.002833,0.854545,?,0.01674
30,1,0,703,121,0.853155,1,0.00142,1,0.99858,0.002837,0.853333,?,0.01674
31,1,0,702,122,0.851942,1,0.001422,1,0.998578,0.002841,0.852121,?,0.01674
32,1,0,701,123,0.850728,1,0.001425,1,0.998575,0.002845,0.850909,?,0.01674
33,1,0,700,124,0.849515,1,0.001427,1,0.998573,0.002849,0.849697,?,0.01674
34,1,0,699,125,0.848301,1,0.001429,1,0.998571,0.002853,0.848485,?,0.01674
35,1,0,698,126,0.847087,1,0.001431,1,0.998569,0.002857,0.847273,?,0.016913
36,1,0,672,152,0.815534,1,0.001486,1,0.998514,0.002967,0.815758,?,0.017009
37,1,0,671,153,0.81432,1,0.001488,1,0.998512,0.002972,0.814545,?,0.017421
38,1,0,667,157,0.809466,1,0.001497,1,0.998503,0.00299,0.809697,?,0.017471
39,1,0,666,158,0.808252,1,0.001499,1,0.998501,0.002994,0.808485,?,0.017491
40,1,0,658,166,0.798544,1,0.001517,1,0.998483,0.00303,0.798788,?,0.017491
41,1,0,657,167,0.79733,1,0.00152,1,0.99848,0.003035,0.797576,?,0.017491
42,1,0,656,168,0.796117,1,0.001522,1,0.998478,0.00304,0.796364,?,0.017491
43,1,0,655,169,0.794903,1,0.001524,1,0.998476,0.003044,0.795152,?,0.017491
44,1,0,654,170,0.793689,1,0.001527,1,0.998473,0.003049,0.793939,?,0.017491
45,1,0,653,171,0.792476,1,0.001529,1,0.998471,0.003053,0.792727,?,0.017561
46,1,0,621,203,0.753641,1,0.001608,1,0.998392,0.00321,0.753939,?,0.017561
47,1,0,620,204,0.752427,1,0.00161,1,0.99839,0.003215,0.752727,?,0.017561
48,1,0,618,206,0.75,1,0.001616,1,0.998384,0.003226,0.750303,?,0.017561
49,1,0,617,207,0.748786,1,0.001618,1,0.998382,0.003231,0.749091,?,0.017561
50,1,0,616,208,0.747573,1,0.001621,1,0.998379,0.003236,0.747879,?,0.017561
51,1,0,615,209,0.746359,1,0.001623,1,0.998377,0.003241,0.746667,?,0.017561
52,1,0,614,210,0.745146,1,0.001626,1,0.998374,0.003247,0.745455,?,0.017561
53,1,0,613,211,0.743932,1,0.001629,1,0.998371,0.003252,0.744242,?,0.017561
54,1,0,612,212,0.742718,1,0.001631,1,0.998369,0.003257,0.74303,?,0.017561
55,1,0,611,213,0.741505,1,0.001634,1,0.998366,0.003263,0.741818,?,0.017561
56,1,0,610,214,0.740291,1,0.001637,1,0.998363,0.003268,0.740606,?,0.017561
57,1,0,609,215,0.739078,1,0.001639,1,0.998361,0.003273,0.739394,?,0.017561
58,1,0,608,216,0.737864,1,0.001642,1,0.998358,0.003279,0.738182,?,0.017561
59,1,0,607,217,0.73665,1,0.001645,1,0.998355,0.003284,0.73697,?,0.017561
60,1,0,606,218,0.735437,1,0.001647,1,0.998353,0.003289,0.735758,?,0.017561
61,1,0,605,219,0.734223,1,0.00165,1,0.99835,0.003295,0.734545,?,0.017561
62,1,0,604,220,0.73301,1,0.001653,1,0.998347,0.0033,0.733333,?,0.017561
63,1,0,603,221,0.731796,1,0.001656,1,0.998344,0.003306,0.732121,?,0.017604
64,1,0,602,222,0.730583,1,0.001658,1,0.998342,0.003311,0.730909,?,0.018486
65,1,0,600,224,0.728155,1,0.001664,1,0.998336,0.003322,0.728485,?,0.018708
66,1,0,593,231,0.71966,1,0.001684,1,0.998316,0.003361,0.72,?,0.018933
67,1,0,589,235,0.714806,1,0.001695,1,0.998305,0.003384,0.715152,?,0.019008
68,1,0,586,238,0.711165,1,0.001704,1,0.998296,0.003401,0.711515,?,0.019084
69,1,0,575,249,0.697816,1,0.001736,1,0.998264,0.003466,0.698182,?,0.019084
70,1,0,574,250,0.696602,1,0.001739,1,0.998261,0.003472,0.69697,?,0.019139
71,1,0,573,251,0.695388,1,0.001742,1,0.998258,0.003478,0.695758,?,0.019147
72,1,0,572,252,0.694175,1,0.001745,1,0.998255,0.003484,0.694545,?,0.01916
73,1,0,531,293,0.644417,1,0.00188,1,0.99812,0.003752,0.644848,?,0.01916
74,1,0,530,294,0.643204,1,0.001883,1,0.998117,0.003759,0.643636,?,0.01916
75,1,0,528,296,0.640777,1,0.00189,1,0.99811,0.003774,0.641212,?,0.01916
76,1,0,527,297,0.639563,1,0.001894,1,0.998106,0.003781,0.64,?,0.01916
77,1,0,526,298,0.63835,1,0.001898,1,0.998102,0.003788,0.638788,?,0.01916
78,1,0,525,299,0.637136,1,0.001901,1,0.998099,0.003795,0.637576,?,0.01916
79,1,0,524,300,0.635922,1,0.001905,1,0.998095,0.003802,0.636364,?,0.01916
80,1,0,523,301,0.634709,1,0.001908,1,0.998092,0.00381,0.635152,?,0.019194
81,1,0,522,302,0.633495,1,0.001912,1,0.998088,0.003817,0.633939,?,0.019218
82,1,0,521,303,0.632282,1,0.001916,1,0.998084,0.003824,0.632727,?,0.019294
83,1,0,520,304,0.631068,1,0.001919,1,0.998081,0.003831,0.631515,?,0.019322
84,1,0,519,305,0.629854,1,0.001923,1,0.998077,0.003839,0.630303,?,0.021476
85,1,0,507,317,0.615291,1,0.001969,1,0.998031,0.003929,0.615758,?,0.021733
86,1,0,502,322,0.609223,1,0.001988,1,0.998012,0.003968,0.609697,?,0.021993
87,1,0,492,332,0.597087,1,0.002028,1,0.997972,0.004049,0.597576,?,0.021993
88,1,0,491,333,0.595874,1,0.002033,1,0.997967,0.004057,0.596364,?,0.021993
89,1,0,490,334,0.59466,1,0.002037,1,0.997963,0.004065,0.595152,?,0.021993
90,1,0,489,335,0.593447,1,0.002041,1,0.997959,0.004073,0.593939,?,0.021993
91,1,0,488,336,0.592233,1,0.002045,1,0.997955,0.004082,0.592727,?,0.022169
92,1,0,483,341,0.586165,1,0.002066,1,0.997934,0.004124,0.586667,?,0.022257
93,1,0,475,349,0.576456,1,0.002101,1,0.997899,0.004193,0.57697,?,0.022345
94,1,0,473,351,0.574029,1,0.00211,1,0.99789,0.004211,0.574545,?,0.022434
95,1,0,462,362,0.56068,1,0.00216,1,0.99784,0.00431,0.561212,?,0.022523
96,1,0,403,421,0.489078,1,0.002475,1,0.997525,0.004938,0.489697,?,0.022523
97,1,0,402,422,0.487864,1,0.002481,1,0.997519,0.00495,0.488485,?,0.024987
98,1,0,401,423,0.48665,1,0.002488,1,0.997512,0.004963,0.487273,?,0.026977
99,1,0,395,429,0.479369,1,0.002525,1,0.997475,0.005038,0.48,?,0.028105
100,1,0,394,430,0.478155,1,0.002532,1,0.997468,0.005051,0.478788,?,0.030083
101,1,0,393,431,0.476942,1,0.002538,1,0.997462,0.005063,0.477576,?,0.030321
102,1,0,391,433,0.474515,1,0.002551,1,0.997449,0.005089,0.475152,?,0.03044
103,1,0,386,438,0.468447,1,0.002584,1,0.997416,0.005155,0.469091,?,0.03101
104,1,0,385,439,0.467233,1,0.002591,1,0.997409,0.005168,0.467879,?,0.03116
105,1,0,384,440,0.466019,1,0.002597,1,0.997403,0.005181,0.466667,?,0.031351
106,0,1,384,440,0.466019,0,0,0,1,0,0.465455,?,0.031517
107,0,1,382,442,0.463592,0,0,0,1,0,0.46303,?,0.031633
108,0,1,381,443,0.462379,0,0,0,1,0,0.461818,?,0.032388
109,0,1,374,450,0.453883,0,0,0,1,0,0.453333,?,0.032491
110,0,1,373,451,0.45267,0,0,0,1,0,0.452121,?,0.032661
111,0,1,371,453,0.450243,0,0,0,1,0,0.449697,?,0.032771
112,0,1,370,454,0.449029,0,0,0,1,0,0.448485,?,0.03278
113,0,1,369,455,0.447816,0,0,0,1,0,0.447273,?,0.0329
114,0,1,361,463,0.438107,0,0,0,1,0,0.437576,?,0.032909
115,0,1,357,467,0.433252,0,0,0,1,0,0.432727,?,0.033029
116,0,1,346,478,0.419903,0,0,0,1,0,0.419394,?,0.033038
117,0,1,333,491,0.404126,0,0,0,1,0,0.403636,?,0.033101
118,0,1,331,493,0.401699,0,0,0,1,0,0.401212,?,0.033159
119,0,1,292,532,0.354369,0,0,0,1,0,0.353939,?,0.033362
120,0,1,291,533,0.353155,0,0,0,1,0,0.352727,?,0.033765
121,0,1,290,534,0.351942,0,0,0,1,0,0.351515,?,0.034565
122,0,1,288,536,0.349515,0,0,0,1,0,0.349091,?,0.034616
123,0,1,287,537,0.348301,0,0,0,1,0,0.347879,?,0.0347
124,0,1,286,538,0.347087,0,0,0,1,0,0.346667,?,0.035279
125,0,1,285,539,0.345874,0,0,0,1,0,0.345455,?,0.035387
126,0,1,281,543,0.341019,0,0,0,1,0,0.340606,?,0.035525
127,0,1,276,548,0.334951,0,0,0,1,0,0.334545,?,0.035665
128,0,1,267,557,0.324029,0,0,0,1,0,0.323636,?,0.035804
129,0,1,190,634,0.230583,0,0,0,1,0,0.230303,?,0.036141
130,0,1,189,635,0.229369,0,0,0,1,0,0.229091,?,0.03862
131,0,1,188,636,0.228155,0,0,0,1,0,0.227879,?,0.040122
132,0,1,187,637,0.226942,0,0,0,1,0,0.226667,?,0.041101
133,0,1,186,638,0.225728,0,0,0,1,0,0.225455,?,0.047995
134,0,1,185,639,0.224515,0,0,0,1,0,0.224242,?,0.048045
135,0,1,184,640,0.223301,0,0,0,1,0,0.22303,?,0.048417
136,0,1,183,641,0.222087,0,0,0,1,0,0.221818,?,0.048652
137,0,1,182,642,0.220874,0,0,0,1,0,0.220606,?,0.048652
138,0,1,181,643,0.21966,0,0,0,1,0,0.219394,?,0.049833
139,0,1,180,644,0.218447,0,0,0,1,0,0.218182,?,0.051029
140,0,1,179,645,0.217233,0,0,0,1,0,0.21697,?,0.053941
141,0,1,178,646,0.216019,0,0,0,1,0,0.215758,?,0.056297
142,0,1,177,647,0.214806,0,0,0,1,0,0.214545,?,0.056297
143,0,1,176,648,0.213592,0,0,0,1,0,0.213333,?,0.060087
144,0,1,174,650,0.211165,0,0,0,1,0,0.210909,?,0.061243
145,0,1,173,651,0.209951,0,0,0,1,0,0.209697,?,0.062232
146,0,1,171,653,0.207524,0,0,0,1,0,0.207273,?,0.063377
147,0,1,170,654,0.206311,0,0,0,1,0,0.206061,?,0.063619
148,0,1,168,656,0.203883,0,0,0,1,0,0.203636,?,0.063861
149,0,1,167,657,0.20267,0,0,0,1,0,0.202424,?,0.064104
150,0,1,162,662,0.196602,0,0,0,1,0,0.196364,?,0.064601
151,0,1,161,663,0.195388,0,0,0,1,0,0.195152,?,0.065546
152,0,1,160,664,0.194175,0,0,0,1,0,0.193939,?,0.068204
153,0,1,159,665,0.192961,0,0,0,1,0,0.192727,?,0.070297
154,0,1,158,666,0.191748,0,0,0,1,0,0.191515,?,0.076905
155,0,1,157,667,0.190534,0,0,0,1,0,0.190303,?,0.077835
156,0,1,156,668,0.18932,0,0,0,1,0,0.189091,?,0.079769
157,0,1,141,683,0.171117,0,0,0,1,0,0.170909,?,0.08043
158,0,1,140,684,0.169903,0,0,0,1,0,0.169697,?,0.080969
159,0,1,139,685,0.168689,0,0,0,1,0,0.168485,?,0.081033
160,0,1,138,686,0.167476,0,0,0,1,0,0.167273,?,0.081879
161,0,1,137,687,0.166262,0,0,0,1,0,0.166061,?,0.083729
162,0,1,133,691,0.161408,0,0,0,1,0,0.161212,?,0.084041
163,0,1,126,698,0.152913,0,0,0,1,0,0.152727,?,0.084353
164,0,1,122,702,0.148058,0,0,0,1,0,0.147879,?,0.084667
165,0,1,105,719,0.127427,0,0,0,1,0,0.127273,?,0.084783
166,0,1,104,720,0.126214,0,0,0,1,0,0.126061,?,0.085104
167,0,1,103,721,0.125,0,0,0,1,0,0.124848,?,0.097801
168,0,1,102,722,0.123786,0,0,0,1,0,0.123636,?,0.108662
169,0,1,101,723,0.122573,0,0,0,1,0,0.122424,?,0.137537
170,0,1,83,741,0.100728,0,0,0,1,0,0.100606,?,0.140701
171,0,1,82,742,0.099515,0,0,0,1,0,0.099394,?,0.156393
172,0,1,81,743,0.098301,0,0,0,1,0,0.098182,?,0.171338
173,0,1,79,745,0.095874,0,0,0,1,0,0.095758,?,0.173722
174,0,1,78,746,0.09466,0,0,0,1,0,0.094545,?,0.175409
175,0,1,75,749,0.091019,0,0,0,1,0,0.090909,?,0.175997
176,0,1,62,762,0.075243,0,0,0,1,0,0.075152,?,0.306951
177,0,1,61,763,0.074029,0,0,0,1,0,0.073939,?,0.308439
178,0,1,60,764,0.072816,0,0,0,1,0,0.072727,?,0.530757
179,0,1,59,765,0.071602,0,0,0,1,0,0.071515,?,0.531311
180,0,1,58,766,0.070388,0,0,0,1,0,0.070303,?,0.533102
181,0,1,57,767,0.069175,0,0,0,1,0,0.069091,?,0.590656
182,0,1,47,777,0.057039,0,0,0,1,0,0.05697,?,0.594574
183,0,1,43,781,0.052184,0,0,0,1,0,0.052121,?,0.594574
184,0,1,42,782,0.050971,0,0,0,1,0,0.050909,?,0.597506
185,0,1,37,787,0.044903,0,0,0,1,0,0.044848,?,0.599456
186,0,1,35,789,0.042476,0,0,0,1,0,0.042424,?,0.60043
187,0,1,34,790,0.041262,0,0,0,1,0,0.041212,?,0.601403
188,0,1,31,793,0.037621,0,0,0,1,0,0.037576,?,0.602376
189,0,1,25,799,0.03034,0,0,0,1,0,0.030303,?,0.626587
190,0,1,24,800,0.029126,0,0,0,1,0,0.029091,?,0.626591
191,0,1,23,801,0.027913,0,0,0,1,0,0.027879,?,0.685108
192,0,1,22,802,0.026699,0,0,0,1,0,0.026667,?,0.702026
193,0,1,21,803,0.025485,0,0,0,1,0,0.025455,?,0.702992
194,0,1,20,804,0.024272,0,0,0,1,0,0.024242,?,0.715131
195,0,1,19,805,0.023058,0,0,0,1,0,0.02303,?,0.720882
196,0,1,18,806,0.021845,0,0,0,1,0,0.021818,?,0.721698
197,0,1,14,810,0.01699,0,0,0,1,0,0.01697,?,0.730004
198,0,1,13,811,0.015777,0,0,0,1,0,0.015758,?,0.733984
199,0,1,12,812,0.014563,0,0,0,1,0,0.014545,?,0.746069
200,0,1,11,813,0.01335,0,0,0,1,0,0.013333,?,0.749132
201,0,1,10,814,0.012136,0,0,0,1,0,0.012121,?,0.751413
202,0,1,9,815,0.010922,0,0,0,1,0,0.010909,?,0.764295
203,0,1,8,816,0.009709,0,0,0,1,0,0.009697,?,0.811221
204,0,1,7,817,0.008495,0,0,0,1,0,0.008485,?,0.815532
205,0,1,6,818,0.007282,0,0,0,1,0,0.007273,?,0.819326
206,0,1,5,819,0.006068,0,0,0,1,0,0.006061,?,0.821121
207,0,1,4,820,0.004854,0,0,0,1,0,0.004848,?,0.866229
208,0,1,3,821,0.003641,0,0,0,1,0,0.003636,?,0.867633
209,0,1,2,822,0.002427,0,0,0,1,0,0.002424,?,0.873357
210,0,1,1,823,0.001214,0,0,0,1,0,0.001212,?,0.874698
211,0,1,0,824,0,0,0,0,0,0,0,?,0.874708
