@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
56,350,4,70072,159,0.997736,0.988701,0.00497,0.988701,0.99503,0.00989,0.997691,0.990989,0.000387
57,350,4,70065,166,0.997636,0.988701,0.004971,0.988701,0.995029,0.009891,0.997592,0.991088,0.000387
58,350,4,70064,167,0.997622,0.988701,0.004971,0.988701,0.995029,0.009891,0.997577,0.991102,0.000387
59,350,4,70058,173,0.997537,0.988701,0.004971,0.988701,0.995029,0.009892,0.997492,0.991186,0.000387
60,350,4,70052,179,0.997451,0.988701,0.004971,0.988701,0.995029,0.009893,0.997407,0.991271,0.000387
61,350,4,70051,180,0.997437,0.988701,0.004972,0.988701,0.995028,0.009893,0.997393,0.991285,0.000387
62,350,4,70050,181,0.997423,0.988701,0.004972,0.988701,0.995028,0.009893,0.997379,0.991299,0.000387
63,350,4,70047,184,0.99738,0.988701,0.004972,0.988701,0.995028,0.009894,0.997337,0.991341,0.000387
64,350,4,70039,192,0.997266,0.988701,0.004972,0.988701,0.995028,0.009895,0.997223,0.991454,0.000387
65,350,4,70038,193,0.997252,0.988701,0.004972,0.988701,0.995028,0.009895,0.997209,0.991468,0.000387
66,350,4,70024,207,0.997053,0.988701,0.004973,0.988701,0.995027,0.009897,0.997011,0.991665,0.000387
67,350,4,70023,208,0.997038,0.988701,0.004973,0.988701,0.995027,0.009897,0.996997,0.991679,0.000387
68,350,4,70022,209,0.997024,0.988701,0.004974,0.988701,0.995026,0.009897,0.996982,0.991693,0.000387
69,350,4,70021,210,0.99701,0.988701,0.004974,0.988701,0.995026,0.009897,0.996968,0.991707,0.000387
70,350,4,70005,226,0.996782,0.988701,0.004975,0.988701,0.995025,0.0099,0.996742,0.991933,0.000387
71,350,4,70004,227,0.996768,0.988701,0.004975,0.988701,0.995025,0.0099,0.996727,0.991947,0.000387
72,350,4,69992,239,0.996597,0.988701,0.004976,0.988701,0.995024,0.009902,0.996557,0.992116,0.000387
73,350,4,69976,255,0.996369,0.988701,0.004977,0.988701,0.995023,0.009904,0.996331,0.992342,0.000387
74,350,4,69975,256,0.996355,0.988701,0.004977,0.988701,0.995023,0.009904,0.996316,0.992356,0.000387
75,350,4,69974,257,0.996341,0.988701,0.004977,0.988701,0.995023,0.009904,0.996302,0.99237,0.000387
76,350,4,69973,258,0.996326,0.988701,0.004977,0.988701,0.995023,0.009904,0.996288,0.992384,0.000387
77,350,4,69972,259,0.996312,0.988701,0.004977,0.988701,0.995023,0.009904,0.996274,0.992398,0.000387
78,350,4,69971,260,0.996298,0.988701,0.004977,0.988701,0.995023,0.009904,0.99626,0.992412,0.000387
79,350,4,69970,261,0.996284,0.988701,0.004977,0.988701,0.995023,0.009905,0.996246,0.992426,0.000387
80,350,4,69969,262,0.996269,0.988701,0.004977,0.988701,0.995023,0.009905,0.996231,0.992441,0.000387
81,350,4,69949,282,0.995985,0.988701,0.004979,0.988701,0.995021,0.009908,0.995948,0.992723,0.000387
82,350,4,69918,313,0.995543,0.988701,0.004981,0.988701,0.995019,0.009912,0.995509,0.993161,0.000387
83,350,4,69865,366,0.994789,0.988701,0.004985,0.988701,0.995015,0.009919,0.994758,0.993911,0.000387
84,350,4,69864,367,0.994774,0.988701,0.004985,0.988701,0.995015,0.00992,0.994744,0.993925,0.000387
85,350,4,69863,368,0.99476,0.988701,0.004985,0.988701,0.995015,0.00992,0.99473,0.993939,0.000387
86,350,4,69862,369,0.994746,0.988701,0.004985,0.988701,0.995015,0.00992,0.994716,0.993953,0.000387
87,350,4,69861,370,0.994732,0.988701,0.004985,0.988701,0.995015,0.00992,0.994701,0.993967,0.000387
88,350,4,69860,371,0.994717,0.988701,0.004985,0.988701,0.995015,0.00992,0.994687,0.993981,0.000387
89,350,4,69859,372,0.994703,0.988701,0.004985,0.988701,0.995015,0.00992,0.994673,0.993995,0.000387
90,350,4,69753,478,0.993194,0.988701,0.004993,0.988701,0.995007,0.009935,0.993171,0.995498,0.000387
91,350,4,69748,483,0.993123,0.988701,0.004993,0.988701,0.995007,0.009936,0.993101,0.995569,0.000387
92,350,4,69747,484,0.993108,0.988701,0.004993,0.988701,0.995007,0.009936,0.993086,0.995584,0.000387
93,350,4,69746,485,0.993094,0.988701,0.004993,0.988701,0.995007,0.009936,0.993072,0.995598,0.000387
94,350,4,69745,486,0.99308,0.988701,0.004993,0.988701,0.995007,0.009936,0.993058,0.995612,0.000387
95,350,4,69368,863,0.987712,0.988701,0.00502,0.988701,0.99498,0.00999,0.987717,1.000996,0.000387
96,350,4,69367,864,0.987698,0.988701,0.00502,0.988701,0.99498,0.00999,0.987703,1.00101,0.000387
97,350,4,69366,865,0.987684,0.988701,0.00502,0.988701,0.99498,0.00999,0.987689,1.001025,0.000387
98,350,4,69365,866,0.987669,0.988701,0.00502,0.988701,0.99498,0.00999,0.987674,1.001039,0.000387
99,350,4,69364,867,0.987655,0.988701,0.005021,0.988701,0.994979,0.00999,0.98766,1.001053,0.000387
100,350,4,69363,868,0.987641,0.988701,0.005021,0.988701,0.994979,0.00999,0.987646,1.001068,0.000387
101,350,4,69362,869,0.987627,0.988701,0.005021,0.988701,0.994979,0.009991,0.987632,1.001082,0.000387
102,350,4,69361,870,0.987612,0.988701,0.005021,0.988701,0.994979,0.009991,0.987618,1.001096,0.000387
103,350,4,69360,871,0.987598,0.988701,0.005021,0.988701,0.994979,0.009991,0.987604,1.001111,0.000387
104,350,4,69358,873,0.98757,0.988701,0.005021,0.988701,0.994979,0.009991,0.987575,1.001139,0.000387
105,350,4,69357,874,0.987555,0.988701,0.005021,0.988701,0.994979,0.009991,0.987561,1.001154,0.000387
106,350,4,69356,875,0.987541,0.988701,0.005021,0.988701,0.994979,0.009991,0.987547,1.001168,0.000387
107,350,4,69355,876,0.987527,0.988701,0.005021,0.988701,0.994979,0.009992,0.987533,1.001183,0.000387
108,350,4,69354,877,0.987513,0.988701,0.005021,0.988701,0.994979,0.009992,0.987519,1.001197,0.00039
109,350,4,69353,878,0.987498,0.988701,0.005021,0.988701,0.994979,0.009992,0.987504,1.001211,0.000396
110,350,4,69352,879,0.987484,0.988701,0.005021,0.988701,0.994979,0.009992,0.98749,1.001226,0.000397
111,350,4,69351,880,0.98747,0.988701,0.005021,0.988701,0.994979,0.009992,0.987476,1.00124,0.000401
112,350,4,69350,881,0.987456,0.988701,0.005022,0.988701,0.994978,0.009992,0.987462,1.001254,0.000432
113,350,4,69348,883,0.987427,0.988701,0.005022,0.988701,0.994978,0.009993,0.987434,1.001283,0.000616
114,350,4,69347,884,0.987413,0.988701,0.005022,0.988701,0.994978,0.009993,0.987419,1.001297,0.000742
115,350,4,69346,885,0.987399,0.988701,0.005022,0.988701,0.994978,0.009993,0.987405,1.001312,0.000743
116,350,4,69344,887,0.98737,0.988701,0.005022,0.988701,0.994978,0.009993,0.987377,1.001341,0.001941
117,350,4,69035,1196,0.98297,0.988701,0.005044,0.988701,0.994956,0.010037,0.982999,1.0058,0.001941
118,350,4,69034,1197,0.982956,0.988701,0.005044,0.988701,0.994956,0.010038,0.982985,1.005814,0.001941
119,350,4,69033,1198,0.982942,0.988701,0.005044,0.988701,0.994956,0.010038,0.982971,1.005829,0.001941
120,350,4,69032,1199,0.982928,0.988701,0.005045,0.988701,0.994955,0.010038,0.982957,1.005843,0.001941
121,350,4,69031,1200,0.982914,0.988701,0.005045,0.988701,0.994955,0.010038,0.982943,1.005858,0.001941
122,350,4,69030,1201,0.982899,0.988701,0.005045,0.988701,0.994955,0.010038,0.982928,1.005872,0.001941
123,350,4,69029,1202,0.982885,0.988701,0.005045,0.988701,0.994955,0.010038,0.982914,1.005887,0.001941
124,350,4,69028,1203,0.982871,0.988701,0.005045,0.988701,0.994955,0.010038,0.9829,1.005901,0.001941
125,350,4,69027,1204,0.982857,0.988701,0.005045,0.988701,0.994955,0.010039,0.982886,1.005916,0.001941
126,350,4,69026,1205,0.982842,0.988701,0.005045,0.988701,0.994955,0.010039,0.982872,1.00593,0.001941
127,350,4,69025,1206,0.982828,0.988701,0.005045,0.988701,0.994955,0.010039,0.982858,1.005945,0.001941
128,350,4,69024,1207,0.982814,0.988701,0.005045,0.988701,0.994955,0.010039,0.982843,1.005959,0.001941
129,350,4,69023,1208,0.9828,0.988701,0.005045,0.988701,0.994955,0.010039,0.982829,1.005974,0.001941
130,350,4,69022,1209,0.982785,0.988701,0.005045,0.988701,0.994955,0.010039,0.982815,1.005988,0.001941
131,350,4,69021,1210,0.982771,0.988701,0.005045,0.988701,0.994955,0.010039,0.982801,1.006003,0.001941
132,350,4,69020,1211,0.982757,0.988701,0.005045,0.988701,0.994955,0.01004,0.982787,1.006017,0.001941
133,350,4,69019,1212,0.982743,0.988701,0.005045,0.988701,0.994955,0.01004,0.982773,1.006032,0.001941
134,350,4,69018,1213,0.982728,0.988701,0.005046,0.988701,0.994954,0.01004,0.982758,1.006046,0.001941
135,350,4,69016,1215,0.9827,0.988701,0.005046,0.988701,0.994954,0.01004,0.98273,1.006075,0.001941
136,350,4,69015,1216,0.982686,0.988701,0.005046,0.988701,0.994954,0.01004,0.982716,1.00609,0.001941
137,350,4,69014,1217,0.982671,0.988701,0.005046,0.988701,0.994954,0.01004,0.982702,1.006104,0.001941
138,350,4,69013,1218,0.982657,0.988701,0.005046,0.988701,0.994954,0.010041,0.982688,1.006119,0.001941
139,350,4,69012,1219,0.982643,0.988701,0.005046,0.988701,0.994954,0.010041,0.982673,1.006133,0.001941
