@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,1,0,824,0,1,1,0.001212,1,0.998788,0.002421,1,1,0.002818
1,1,0,818,6,0.992718,1,0.001221,1,0.998779,0.002439,0.992727,?,0.002925
2,1,0,815,9,0.989078,1,0.001225,1,0.998775,0.002448,0.989091,?,0.003035
3,1,0,814,10,0.987864,1,0.001227,1,0.998773,0.002451,0.987879,?,0.003149
4,1,0,812,12,0.985437,1,0.00123,1,0.99877,0.002457,0.985455,?,0.003391
5,1,0,807,17,0.979369,1,0.001238,1,0.998762,0.002472,0.979394,?,0.003788
6,1,0,803,21,0.974515,1,0.001244,1,0.998756,0.002484,0.974545,?,0.003788
7,1,0,802,22,0.973301,1,0.001245,1,0.998755,0.002488,0.973333,?,0.004169
8,1,0,801,23,0.972087,1,0.001247,1,0.998753,0.002491,0.972121,?,0.004392
9,1,0,791,33,0.959951,1,0.001263,1,0.998737,0.002522,0.96,?,0.004866
10,1,0,790,34,0.958738,1,0.001264,1,0.998736,0.002525,0.958788,?,0.005852
11,1,0,789,35,0.957524,1,0.001266,1,0.998734,0.002528,0.957576,?,0.007107
12,1,0,785,39,0.95267,1,0.001272,1,0.998728,0.002541,0.952727,?,0.007374
13,1,0,784,40,0.951456,1,0.001274,1,0.998726,0.002545,0.951515,?,0.007464
14,1,0,783,41,0.950243,1,0.001276,1,0.998724,0.002548,0.950303,?,0.008556
15,1,0,782,42,0.949029,1,0.001277,1,0.998723,0.002551,0.949091,?,0.009539
16,1,0,781,43,0.947816,1,0.001279,1,0.998721,0.002554,0.947879,?,0.010284
17,1,0,780,44,0.946602,1,0.00128,1,0.99872,0.002558,0.946667,?,0.01148
18,1,0,779,45,0.945388,1,0.001282,1,0.998718,0.002561,0.945455,?,0.011498
