@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,354,0,70231,0,1,1,0.005015,1,0.994985,0.00998,1,1,0.00039
1,354,0,70219,12,0.999829,1,0.005016,1,0.994984,0.009982,0.99983,1.00017,0.00039
2,354,0,70218,13,0.999815,1,0.005016,1,0.994984,0.009982,0.999816,1.000184,0.00039
3,354,0,70217,14,0.999801,1,0.005016,1,0.994984,0.009982,0.999802,1.000198,0.00039
4,354,0,70216,15,0.999786,1,0.005016,1,0.994984,0.009983,0.999787,1.000213,0.00039
5,354,0,70215,16,0.999772,1,0.005016,1,0.994984,0.009983,0.999773,1.000227,0.00039
6,354,0,70214,17,0.999758,1,0.005016,1,0.994984,0.009983,0.999759,1.000241,0.00039
7,354,0,70213,18,0.999744,1,0.005017,1,0.994983,0.009983,0.999745,1.000255,0.00039
8,354,0,70212,19,0.999729,1,0.005017,1,0.994983,0.009983,0.999731,1.000269,0.00039
9,354,0,70211,20,0.999715,1,0.005017,1,0.994983,0.009983,0.999717,1.000283,0.00039
10,354,0,70210,21,0.999701,1,0.005017,1,0.994983,0.009983,0.999702,1.000298,0.0005
11,354,0,70170,61,0.999131,1,0.00502,1,0.99498,0.009989,0.999136,1.000865,0.0005
12,354,0,70169,62,0.999117,1,0.00502,1,0.99498,0.009989,0.999122,1.000879,0.0005
13,354,0,70168,63,0.999103,1,0.00502,1,0.99498,0.009989,0.999107,1.000893,0.0005
14,354,0,70167,64,0.999089,1,0.00502,1,0.99498,0.009989,0.999093,1.000908,0.0005
15,354,0,70166,65,0.999074,1,0.00502,1,0.99498,0.00999,0.999079,1.000922,0.0005
16,354,0,70165,66,0.99906,1,0.00502,1,0.99498,0.00999,0.999065,1.000936,0.0005
17,354,0,70164,67,0.999046,1,0.00502,1,0.99498,0.00999,0.999051,1.00095,0.0005
18,354,0,70163,68,0.999032,1,0.00502,1,0.99498,0.00999,0.999037,1.000964,0.0005
19,354,0,70162,69,0.999018,1,0.00502,1,0.99498,0.00999,0.999022,1.000979,0.0005
20,354,0,70161,70,0.999003,1,0.00502,1,0.99498,0.00999,0.999008,1.000993,0.0005
21,354,0,70160,71,0.998989,1,0.00502,1,0.99498,0.00999,0.998994,1.001007,0.0005
22,354,0,70159,72,0.998975,1,0.00502,1,0.99498,0.009991,0.99898,1.001021,0.0005
23,354,0,70158,73,0.998961,1,0.00502,1,0.99498,0.009991,0.998966,1.001035,0.000506
24,350,4,70158,73,0.998961,0.988701,0.004964,0.988701,0.995036,0.009878,0.998909,0.98978,0.000517
25,350,4,70156,75,0.998932,0.988701,0.004964,0.988701,0.995036,0.009879,0.998881,0.989808,0.000519
