@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
65,1,0,627,197,0.760922,1,0.001592,1,0.998408,0.00318,0.761212,?,0.016239
66,1,0,601,223,0.729369,1,0.001661,1,0.998339,0.003317,0.729697,?,0.016431
67,1,0,599,225,0.726942,1,0.001667,1,0.998333,0.003328,0.727273,?,0.016549
68,1,0,592,232,0.718447,1,0.001686,1,0.998314,0.003367,0.718788,?,0.016669
69,1,0,588,236,0.713592,1,0.001698,1,0.998302,0.00339,0.713939,?,0.016709
70,1,0,585,239,0.709951,1,0.001706,1,0.998294,0.003407,0.710303,?,0.016749
71,1,0,574,250,0.696602,1,0.001739,1,0.998261,0.003472,0.69697,?,0.016749
72,1,0,573,251,0.695388,1,0.001742,1,0.998258,0.003478,0.695758,?,0.016789
73,1,0,532,292,0.645631,1,0.001876,1,0.998124,0.003745,0.646061,?,0.016789
74,1,0,531,293,0.644417,1,0.00188,1,0.99812,0.003752,0.644848,?,0.016789
75,1,0,529,295,0.64199,1,0.001887,1,0.998113,0.003766,0.642424,?,0.016789
76,1,0,528,296,0.640777,1,0.00189,1,0.99811,0.003774,0.641212,?,0.016789
77,1,0,527,297,0.639563,1,0.001894,1,0.998106,0.003781,0.64,?,0.016789
78,1,0,526,298,0.63835,1,0.001898,1,0.998102,0.003788,0.638788,?,0.016789
79,1,0,525,299,0.637136,1,0.001901,1,0.998099,0.003795,0.637576,?,0.016789
80,1,0,524,300,0.635922,1,0.001905,1,0.998095,0.003802,0.636364,?,0.016799
81,1,0,523,301,0.634709,1,0.001908,1,0.998092,0.00381,0.635152,?,0.016806
82,1,0,522,302,0.633495,1,0.001912,1,0.998088,0.003817,0.633939,?,0.01682
83,1,0,521,303,0.632282,1,0.001916,1,0.998084,0.003824,0.632727,?,0.016842
84,1,0,520,304,0.631068,1,0.001919,1,0.998081,0.003831,0.631515,?,0.016937
85,1,0,519,305,0.629854,1,0.001923,1,0.998077,0.003839,0.630303,?,0.01853
86,1,0,518,306,0.628641,1,0.001927,1,0.998073,0.003846,0.629091,?,0.018749
87,1,0,506,318,0.614078,1,0.001972,1,0.998028,0.003937,0.614545,?,0.018884
88,1,0,501,323,0.60801,1,0.001992,1,0.998008,0.003976,0.608485,?,0.01902
89,1,0,491,333,0.595874,1,0.002033,1,0.997967,0.004057,0.596364,?,0.01902
90,1,0,490,334,0.59466,1,0.002037,1,0.997963,0.004065,0.595152,?,0.01902
91,1,0,489,335,0.593447,1,0.002041,1,0.997959,0.004073,0.593939,?,0.01902
92,1,0,488,336,0.592233,1,0.002045,1,0.997955,0.004082,0.592727,?,0.01902
93,1,0,487,337,0.591019,1,0.002049,1,0.997951,0.00409,0.591515,?,0.019111
94,1,0,482,342,0.584951,1,0.00207,1,0.99793,0.004132,0.585455,?,0.019157
95,1,0,474,350,0.575243,1,0.002105,1,0.997895,0.004202,0.575758,?,0.019203
96,1,0,472,352,0.572816,1,0.002114,1,0.997886,0.004219,0.573333,?,0.019249
97,1,0,461,363,0.559466,1,0.002165,1,0.997835,0.00432,0.56,?,0.019295
98,1,0,402,422,0.487864,1,0.002481,1,0.997519,0.00495,0.488485,?,0.019295
99,1,0,401,423,0.48665,1,0.002488,1,0.997512,0.004963,0.487273,?,0.022053
100,1,0,400,424,0.485437,1,0.002494,1,0.997506,0.004975,0.486061,?,0.022097
101,1,0,398,426,0.48301,1,0.002506,1,0.997494,0.005,0.483636,?,0.022584
102,1,0,397,427,0.481796,1,0.002513,1,0.997487,0.005013,0.482424,?,0.022592
103,1,0,396,428,0.480583,1,0.002519,1,0.997481,0.005025,0.481212,?,0.024089
104,1,0,395,429,0.479369,1,0.002525,1,0.997475,0.005038,0.48,?,0.025756
105,1,0,393,431,0.476942,1,0.002538,1,0.997462,0.005063,0.477576,?,0.025866
106,1,0,387,437,0.46966,1,0.002577,1,0.997423,0.005141,0.470303,?,0.02587
107,1,0,386,438,0.468447,1,0.002584,1,0.997416,0.005155,0.469091,?,0.025884
108,1,0,385,439,0.467233,1,0.002591,1,0.997409,0.005168,0.467879,?,0.026145
109,1,0,384,440,0.466019,1,0.002597,1,0.997403,0.005181,0.466667,?,0.026375
110,1,0,383,441,0.464806,1,0.002604,1,0.997396,0.005195,0.465455,?,0.026438
111,1,0,379,445,0.459951,1,0.002632,1,0.997368,0.005249,0.460606,?,0.0265
112,1,0,366,458,0.444175,1,0.002725,1,0.997275,0.005435,0.444848,?,0.02652
113,1,0,359,465,0.43568,1,0.002778,1,0.997222,0.00554,0.436364,?,0.02671
114,1,0,358,466,0.434466,1,0.002786,1,0.997214,0.005556,0.435152,?,0.026767
115,1,0,357,467,0.433252,1,0.002793,1,0.997207,0.005571,0.433939,?,0.026773
116,1,0,349,475,0.423544,1,0.002857,1,0.997143,0.005698,0.424242,?,0.026837
