@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,354,0,70231,0,1,1,0.005015,1,0.994985,0.00998,1,1,0.002718
1,354,0,70166,65,0.999074,1,0.00502,1,0.99498,0.00999,0.999079,1.000922,0.002718
2,354,0,70165,66,0.99906,1,0.00502,1,0.99498,0.00999,0.999065,1.000936,0.002718
3,354,0,70164,67,0.999046,1,0.00502,1,0.99498,0.00999,0.999051,1.00095,0.002718
4,354,0,70163,68,0.999032,1,0.00502,1,0.99498,0.00999,0.999037,1.000964,0.002718
5,354,0,70162,69,0.999018,1,0.00502,1,0.99498,0.00999,0.999022,1.000979,0.002718
6,354,0,70161,70,0.999003,1,0.00502,1,0.99498,0.00999,0.999008,1.000993,0.002718
7,354,0,70160,71,0.998989,1,0.00502,1,0.99498,0.00999,0.998994,1.001007,0.002718
8,354,0,70159,72,0.998975,1,0.00502,1,0.99498,0.009991,0.99898,1.001021,0.002718
9,354,0,70158,73,0.998961,1,0.00502,1,0.99498,0.009991,0.998966,1.001035,0.002718
10,354,0,70157,74,0.998946,1,0.00502,1,0.99498,0.009991,0.998952,1.001049,0.002719
11,354,0,70154,77,0.998904,1,0.005021,1,0.994979,0.009991,0.998909,1.001092,0.002721
12,354,0,70143,88,0.998747,1,0.005021,1,0.994979,0.009993,0.998753,1.001248,0.002721
13,354,0,70142,89,0.998733,1,0.005022,1,0.994978,0.009993,0.998739,1.001262,0.002721
14,354,0,70141,90,0.998719,1,0.005022,1,0.994978,0.009993,0.998725,1.001277,0.002721
15,354,0,70140,91,0.998704,1,0.005022,1,0.994978,0.009993,0.998711,1.001291,0.002721
16,354,0,70139,92,0.99869,1,0.005022,1,0.994978,0.009993,0.998697,1.001305,0.002721
17,354,0,70138,93,0.998676,1,0.005022,1,0.994978,0.009994,0.998682,1.001319,0.002721
18,354,0,70137,94,0.998662,1,0.005022,1,0.994978,0.009994,0.998668,1.001334,0.002721
19,354,0,70136,95,0.998647,1,0.005022,1,0.994978,0.009994,0.998654,1.001348,0.002721
20,354,0,70135,96,0.998633,1,0.005022,1,0.994978,0.009994,0.99864,1.001362,0.002721
21,354,0,70133,98,0.998605,1,0.005022,1,0.994978,0.009994,0.998612,1.00139,0.002721
22,354,0,70132,99,0.99859,1,0.005022,1,0.994978,0.009994,0.998597,1.001405,0.002722
23,354,0,70131,100,0.998576,1,0.005022,1,0.994978,0.009994,0.998583,1.001419,0.002722
24,354,0,70130,101,0.998562,1,0.005022,1,0.994978,0.009995,0.998569,1.001433,0.002722
25,354,0,70129,102,0.998548,1,0.005022,1,0.994978,0.009995,0.998555,1.001447,0.002722
26,354,0,70128,103,0.998533,1,0.005023,1,0.994977,0.009995,0.998541,1.001461,0.002723
27,354,0,70118,113,0.998391,1,0.005023,1,0.994977,0.009996,0.998399,1.001603,0.002723
28,354,0,70117,114,0.998377,1,0.005023,1,0.994977,0.009996,0.998385,1.001618,0.002725
29,354,0,70116,115,0.998363,1,0.005023,1,0.994977,0.009997,0.998371,1.001632,0.002726
30,354,0,70111,120,0.998291,1,0.005024,1,0.994976,0.009997,0.9983,1.001703,0.002726
31,354,0,70110,121,0.998277,1,0.005024,1,0.994976,0.009997,0.998286,1.001717,0.002728
32,354,0,70107,124,0.998234,1,0.005024,1,0.994976,0.009998,0.998243,1.00176,0.002728
33,354,0,70106,125,0.99822,1,0.005024,1,0.994976,0.009998,0.998229,1.001774,0.002729
34,354,0,70105,126,0.998206,1,0.005024,1,0.994976,0.009998,0.998215,1.001788,0.002729
35,354,0,70104,127,0.998192,1,0.005024,1,0.994976,0.009998,0.998201,1.001802,0.002731
36,354,0,70099,132,0.99812,1,0.005025,1,0.994975,0.009999,0.99813,1.001874,0.002733
37,354,0,70096,135,0.998078,1,0.005025,1,0.994975,0.009999,0.998087,1.001916,0.002736
38,354,0,70095,136,0.998064,1,0.005025,1,0.994975,0.01,0.998073,1.00193,0.002736
39,354,0,70094,137,0.998049,1,0.005025,1,0.994975,0.01,0.998059,1.001945,0.002736
40,354,0,70093,138,0.998035,1,0.005025,1,0.994975,0.01,0.998045,1.001959,0.002738
41,354,0,70092,139,0.998021,1,0.005025,1,0.994975,0.01,0.998031,1.001973,0.002741
42,354,0,70091,140,0.998007,1,0.005025,1,0.994975,0.01,0.998017,1.001987,0.002746
43,354,0,70088,143,0.997964,1,0.005025,1,0.994975,0.010001,0.997974,1.00203,0.002746
44,354,0,70087,144,0.99795,1,0.005025,1,0.994975,0.010001,0.99796,1.002044,0.002748
45,354,0,70086,145,0.997935,1,0.005026,1,0.994974,0.010001,0.997946,1.002058,0.002751
46,354,0,70081,150,0.997864,1,0.005026,1,0.994974,0.010002,0.997875,1.00213,0.002754
47,354,0,70080,151,0.99785,1,0.005026,1,0.994974,0.010002,0.997861,1.002144,0.002754
48,354,0,70079,152,0.997836,1,0.005026,1,0.994974,0.010002,0.997847,1.002158,0.002756
49,354,0,70078,153,0.997821,1,0.005026,1,0.994974,0.010002,0.997832,1.002172,0.002761
50,354,0,70077,154,0.997807,1,0.005026,1,0.994974,0.010002,0.997818,1.002187,0.002761
51,354,0,70076,155,0.997793,1,0.005026,1,0.994974,0.010002,0.997804,1.002201,0.002763
